UMAP_1,UMAP_2,UMAP_3,Cluster
-8.70659,10.838828,20.172602,1
-8.385098,10.157232,19.880642,1
-10.994657,12.135944,19.335888,0
-12.827366,14.101365,18.850868,0
-8.338942,10.65748,20.569912,1
-9.166602,10.422293,20.517046,1
-14.1857605,15.909178,18.523905,0
-14.288954,16.222057,17.279984,0
-13.019667,13.416742,18.61728,0
-14.379957,16.149057,17.902462,0
-12.851828,13.520847,18.28434,0
-13.300767,13.928448,18.80282,0
-14.629727,15.990077,17.753311,0
-11.353004,12.609996,18.269562,0
-13.608473,16.360807,17.873512,0
-8.964898,10.697436,20.057064,1
-13.178285,14.369344,18.18712,0
-9.176907,9.531397,19.753225,1
-7.4197974,9.253028,19.788935,1
-12.598175,13.868993,19.289665,0
-9.361956,10.967809,20.547937,1
-11.768797,13.413617,18.904676,0
-12.271893,13.676649,18.641298,0
-13.912229,15.616937,18.138868,0
-8.685851,9.906218,20.431831,1
-7.9337626,9.605036,20.246948,1
-14.424511,15.462991,18.610695,0
-7.854728,8.897244,19.759388,1
-14.265137,15.768254,17.515837,0
-12.121581,13.204786,17.880331,0
-11.702352,12.745054,19.24974,0
-8.599542,10.744093,20.576162,1
-13.270259,15.329692,18.233652,0
-11.461669,12.938051,19.458073,0
-12.567421,13.883452,18.387587,0
-8.891474,10.973586,20.82285,1
-11.678427,13.197475,19.148546,0
-7.8834486,10.5105295,19.669367,1
-13.133933,13.203859,18.805656,0
-13.689099,15.722364,18.201202,0
-13.905363,15.787847,18.366816,0
-13.6220665,14.806615,18.954485,0
-13.759396,15.97832,17.553226,0
-11.929593,12.813271,18.255634,0
-14.222125,15.310866,18.285456,0
-12.66827,14.747203,18.420406,0
-14.27631,15.548805,17.402279,0
-11.969208,13.643495,19.307432,0
-14.058936,14.592131,18.656921,0
-14.3297,15.250739,17.256872,0
-10.6254425,12.322993,19.474186,0
-8.896501,9.767768,20.224213,1
-13.706511,14.495096,18.379448,0
-9.522654,10.473645,20.599936,1
-13.187907,13.113059,19.363121,0
-12.633886,13.462946,19.267628,0
-13.826833,15.839543,18.746782,0
-11.3243685,13.265707,18.512333,0
-10.460548,12.351382,18.266068,0
-12.166875,12.8493185,18.639551,0
-9.752247,10.896143,19.91066,1
-10.905396,11.934726,18.249273,0
-10.449393,11.626194,20.048151,0
-9.228863,9.938976,20.432236,1
-12.8629,13.164668,18.50866,0
-12.510227,12.763488,19.401787,0
-14.176377,14.985211,18.544022,0
-8.30087,10.436596,20.497393,1
-13.233881,13.598838,18.93306,0
-9.590434,12.299887,18.700125,1
-13.117164,15.718104,17.630613,0
-8.355772,9.064485,19.837059,1
-13.209128,14.79469,17.353054,0
-8.0801935,9.338826,19.360176,1
-14.075494,14.755124,17.185669,0
-9.076794,9.730393,18.336615,1
-10.880152,13.561731,17.06274,0
-12.784448,14.722894,17.117907,0
-12.883123,15.188444,16.440226,0
-7.6088276,9.57762,20.10122,1
-10.121434,11.182341,18.051737,1
-10.138157,10.56318,18.55458,1
-7.727833,10.046953,19.970022,1
-10.505473,13.6134205,17.677898,2
-8.873432,10.29674,19.513483,1
-12.069153,12.890952,17.608643,0
-10.31155,12.766212,17.852545,1
-11.045613,13.922281,17.251635,0
-7.2207537,9.572552,19.639725,1
-12.451155,14.306242,16.951693,0
-8.884623,10.028891,17.83126,1
-10.979033,14.065711,17.746246,2
-13.450495,14.335361,19.056704,0
-9.553054,12.100718,18.185863,1
-9.057186,10.410784,18.012733,1
-8.3186,10.529895,18.336031,1
-12.389643,15.222737,17.228329,0
-8.997505,10.947483,17.898127,1
-9.567068,10.818042,18.531084,1
-7.6692796,8.8793545,19.367052,1
-10.360472,10.913079,18.587877,1
-8.534021,9.480775,18.579927,1
-8.093336,9.36514,18.460806,1
-13.121558,15.820652,17.058664,0
-10.008904,10.383457,19.09634,1
-10.595599,11.544584,18.03579,1
-11.6420355,14.186982,16.817665,0
-11.098546,13.406337,16.64686,1
-10.727823,11.452644,18.524616,1
-10.603705,13.766299,17.841644,2
-7.238394,9.0701475,19.433805,1
-9.724405,11.08702,18.260624,1
-12.908751,15.994041,18.115004,0
-10.451512,12.500291,17.31342,1
-8.419782,10.109282,18.727835,1
-11.963795,14.78213,17.526922,0
-8.802778,8.940549,18.876657,1
-9.239193,11.852076,18.40573,1
-12.40947,14.767968,17.595598,0
-7.7104254,10.08271,18.440313,1
-11.513608,14.558479,17.239813,0
-11.524453,12.444375,17.496988,1
-11.477093,14.204379,17.864527,2
-7.496231,9.334856,18.770887,1
-8.879805,9.409383,19.1631,1
-11.924507,14.494032,17.776297,0
-8.250287,8.721885,19.517456,1
-8.670586,10.317526,17.715286,1
-10.056866,10.551475,19.09154,1
-13.419349,14.919957,17.697697,0
-11.721987,14.0833025,16.826086,0
-11.447742,13.779243,17.400883,0
-9.809192,12.74134,18.281382,1
-8.297604,10.105588,18.342676,1
-10.34328,13.058103,17.568798,1
-13.395788,15.368392,17.382944,0
-7.917844,9.739242,18.7669,1
-8.554996,11.574663,20.089434,1
-8.0749035,10.770734,19.953451,1
-9.662219,10.039128,19.834959,1
-12.278099,16.340757,17.09955,0
-7.5998774,10.339417,19.429018,1
-13.640342,16.360806,18.205997,0
-13.237085,16.62415,17.246542,0
-12.419756,16.575914,17.446295,0
-12.912468,16.697136,17.398535,0
-7.5737343,10.320597,19.059423,1
-12.033741,15.700141,17.895157,0
-12.830339,15.865645,16.483162,0
-13.959719,14.84638,18.519646,0
-12.528081,16.2896,17.840513,0
-8.821654,12.024722,19.271662,1
-14.184619,16.33562,17.960054,0
-8.171914,11.72427,19.135757,1
-8.78551,11.934809,19.66037,1
-12.862005,13.060186,19.169298,0
-9.155558,11.583085,19.94493,1
-12.187794,15.457825,16.713274,0
-10.107294,11.507476,19.63059,1
-7.445251,9.852985,19.413313,1
-8.384049,11.700938,19.183813,1
-8.245955,11.264781,19.598814,1
-8.624535,9.3733,18.614424,1
-8.311607,12.02757,19.64553,1
-8.606229,8.960052,19.24159,1
-12.14118,16.105831,17.5213,0
-12.958587,15.798356,16.257078,0
-12.752535,16.605103,16.543488,0
-13.847917,16.138351,16.859041,0
-8.447171,9.338079,19.48056,1
-9.823241,11.1637125,19.197924,1
-12.205538,15.435303,18.249006,0
-12.530409,16.520733,16.77175,0
-12.873357,16.242813,16.642239,0
-12.352021,15.842627,16.301931,0
-12.926116,16.575638,18.049465,0
-13.097774,15.9003525,18.460516,0
-11.015943,12.402901,17.834612,0
-9.192891,11.08581,19.522535,1
